Mixture,Macs_IFN_B1a_Macs_IFN_y,Macs_IL_10,Macs_IL_4_Macs_IL_13,DCs_IFN_B1a,DCs_IFN_B1a_DCs_IFN_y,DCs_IL_10,Monos_IFN_B1a_Monos_IFN_y,Monos_IL_10,Monos_IL_4_Monos_IL_13,PMNs_IFN_B1a,PMNs_IFN_B1a_PMNs_IFN_y,PMNs_IL_4_PMNs_IL_13,P-value,Correlation,RMSE
124_0,0,0.0427375990353303,0,0,0.223291900891916,0.138293456055675,0,0,0.066383417569911,0.0412050080795773,0.424173206944679,0.0639154114229118,0,0.862183731448778,0.543998043427131
125_0,0.0101504876001199,0.0180400140340738,0,0,0.100852553630113,0.142986090618118,0,0,0.131196653591708,0.21367049118989,0.362255963573205,0.0208477457627721,0,0.907400347177973,0.484051928143367
126_0,0,0.0112229028956417,0,0,0.241389123499362,0.18140500282793,0,0,0.0673402415891168,0.175476654857865,0.287675769744934,0.0354903045851501,0,0.8866104465583,0.534141300870976
128_0,0,0.0367715477539599,0.00451688016150825,0,0,0.240296571390308,0,0,0.188217441286382,0.0779004090352318,0.378452048609398,0.0738451017632127,0,0.88760407559796,0.551658337844989
129_0,0.0632127408189031,0,0,0,0.147123574254964,0.24295431178294,0,0,0.0292684271995321,0.0669061904283691,0.450534755515292,0,0,0.859784178289516,0.531938176340344
135_0,0,0.042354547072177,0,0,0.16783878585181,0.233364863567279,0,0,0.172446016384217,0.0568012367170399,0.314613113771731,0.0125814366357455,0,0.829488101002119,0.614874775435491
136_0,0.0467256587280902,0,0,0,0.123899050571014,0.265894688380465,0,0,0.102498093537848,0.110217352343183,0.3507651564394,0,0,0.845211580879754,0.575190089787487
146_0,0,0.030022473603485,0,0,0.140124206664464,0.248512108160565,0,0,0.0666562718998104,0.0412987853799654,0.452427979548419,0.0209581747432909,0,0.87875855227781,0.522354763154452
148_0,0,0.0576430117567639,0,0,0.233344447237831,0.1718604528379,0.0566541833533165,0,0.0366672933996146,0.135498614382398,0.213127285431388,0.0952047116007878,0,0.80877032255755,0.628609593993515
151_0,0,0,0.0442352589795111,0,0.234392716067242,0.205799010550605,0,0,0.0296537110648516,0.124878976826231,0.36104032651156,0,0,0.850621555814252,0.560704260753139
155_0,0,0.0341304016101455,0,0,0.105314645927425,0.307172165001577,0.0247162369688307,0,0.0448644212669631,0.0324056923149369,0.394109299397059,0.0572871375130626,0,0.881800528034323,0.538621253979215
161_0,0,0.0365463439689192,0.0032052385900193,0,0.0365791490535536,0.332088652255559,0.0151987331884156,0,0.0126992597773422,0.289743600226877,0.180766174370981,0.0931728485683332,0,0.796015357733987,0.641036187387173
166_0,0.0120465162925306,0.0137874432003467,0,0,0.0800620332019043,0.262285243709168,0,0,0.18123780777555,0.0942732706674567,0.342711587911526,0.0135960972415177,0,0.860341382015436,0.580634062243557
169_0,0.0217067813823622,0,0,0,0.202549124378913,0.246544405637823,0,0,0.0592324710349694,0.0451305692366815,0.424836648329251,0,0,0.878668003786962,0.523702147595187
