Mixture,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell,P-value,Correlation,RMSE
445_3,0.0350372010469235,0.0144531661053868,0.328742909060402,0.133473047295382,0,0.137727753970865,0,0.00165848079861042,0.0473565269325247,0,0,0,0,0.0223131594148463,0,0,0.102859478832822,0.176378276542236,0,0,0,0.755558826676202,0.730653540807388
446_3,0.0661156280099841,0.0150484022977715,0.35784301880752,0.0986503257248251,0,0.0445900413270113,0,0.00702806685555047,0.00736674489503411,0,0,0,0,0.0274076722393446,0,0,0.196263626897252,0.179058391737514,0,0.000628081208191633,0,0.888174599580214,0.636576426969208
450_3,0.123136592199747,0.00585647019603107,0.410964974705845,0.0927193479987641,0,0.0583331728630077,0,0.00387160261059446,0,0,0,0,0,0.0320210850755547,0,0,0.0385936440710517,0.219151034517897,0.00472003051833877,0.010632045243169,0,0.830836041745014,0.677006578614265
452_3,0.0325351310106881,0.0119021915663707,0.426770872819397,0.117633338651856,0,0.0531372095176389,0,3.55121067420742e-05,0,0,0,0,0,0.0128027511769401,0,0,0.161203805095678,0.18226440620174,0,0.00171478185294969,0,0.83143508066462,0.684545028327041
454_3,0.0705974321044343,0,0.409995376312539,0.0451400328390098,0,0.0392045675050634,0,0.00254057914532614,0,0,0,0,0,0.029810167604873,0,0,0.10329597965436,0.299415864834395,0,0,0,0.864392817094251,0.656996332646393
458_3,0.122135960249402,0.00227474230219056,0.348071477525096,0.0935083031233687,0,0.021523291709955,0,0,0,0,0.00518938535126015,0,0,0.0296038972628966,0,0,0.095307744964699,0.270814703214748,0.000468642441346275,0.011101851855038,0,0.842773244811083,0.671972281900612
459_3,0.0308538316123818,0.0206188915148254,0.417949804430163,0.10811830349889,0,0.040664152795325,0,0.00110748266025311,0,0,0,0,0,0.0283409102407309,0,0,0.106209900328515,0.236899295645009,0,0.00923742727390688,0,0.806925381125538,0.703426811727691
469_3,0.121206779803686,0.0168264330409514,0.294228173235601,0.121284481530173,0,0.035536915726025,0,0.00151351282536355,0,0,0,0,0,0.0470831445192162,0,0,0.0709368468655715,0.286899612832802,0.00022883750061304,0.00425526211999635,0,0.831498039122107,0.670361875760968
473_3,0.0901820803200726,0.0161516495650512,0.351489721505036,0.0837821876168469,0,0.0481084549918484,0.000723729446519919,0.00106044958872895,0,0,0.000947473529638917,0,0,0.0377150954811902,0,0,0.124365336813485,0.245473821141582,0,0,0,0.8782856321396,0.643117145373494
477_3,0.114363056063734,0.0245853359363747,0.415454921698469,0.0553962777039477,0.00110251029741401,0.0701210488525539,0,0.0100286321145544,0.0107396072971963,0,0,0.00540036469063345,0,0.0118592516129393,0,0,0.10657211179285,0.174376881939334,0,0,0,0.881451177451479,0.631002647517493
