Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
217_3,0.0616806616951942,0,0,0.1125935105505,0.105778560375578,0.128417116165857,0.00733282626248885,0,0.00503467279278311,0,0.162946527334554,0,0.0413187188618195,0,0,0.011037371017696,0,0.00693960840032498,0.000653682885028329,0,0,0.356266743658176,0,0.8989211078653,0.532406572972121
219_3,0.0263056818728518,0.00744907306723493,0,0.14059604124503,0.0733648286506569,0.156851604259307,0.00609267816068958,0,0.00345061329431033,0,0.130611880627135,0,0.0364161737857569,0,0,0.00164219294064418,0,0,0,0,0,0.417219232096383,0,0.879224377035394,0.53253772459611
220_3,0.0514757543104316,0,0.00895167912373722,0.0859582949395207,0.0815438282792277,0.149267531022261,0.00816411025292377,0,0,0,0.132427086742767,0,0,0,0,0.0183921564219496,0,0.00324562662446806,0,0,0,0.460573932282713,0,0.899997561079947,0.500758640377027
221_3,0.0343176333968648,0.00824588008092721,0.00520062752046908,0.0383186522953368,0.0728058995066407,0.121981842849874,0.0225971960652203,0,0.00213708575430808,0,0.0860594845557084,0,0.0240023086392386,0,0,0.00315281343601341,0,0.000718037930151342,0.00968564833170104,0,0,0.570776889637547,0,0.913252630648412,0.442543263293072
222_3,0.052194716445763,0.0270870146355031,0.00580184981859052,0.0719894373988393,0.0898386053149272,0.118608724386171,0.018368138543003,0,0.00608598272759575,0,0.0794073998676591,0,0,0,0,0.00548606542999559,0,0.000477762028496114,0.0115627954767303,0,0,0.513091507926726,0,0.934600669530484,0.433892467100836
224_3,0.0229495766617185,0.00833662225616544,6.48960885370967e-06,0.0821113991156513,0.128648380711635,0.154628833228293,0.00841666503934582,0,0,0,0.11542232186909,0,0,0,0,0.00381662805212383,0,0,0.0226619118424505,0,0,0.453001171614673,0,0.920234558618046,0.474177973681299
225_3,0.017738768574462,0.0220963111001172,0.00993221830152553,0.106384825616096,0.0845163259838994,0.0401523393991412,0.0243332735702833,0,0.0200945099392722,0,0.0740950302917825,0,0,0,0,0,0,0,0.0148689194863223,0,0,0.585787477737099,0,0.938690718472531,0.393686543124922
232_3,0.0511037720697374,0.00132504457328053,0.00428932843555485,0.102227093106472,0.160999814884912,0.0995210468771704,0.000963819512312216,0,0.0149124158824206,0,0.126702967534889,0,0.0426514306484174,0,0,0.00675829590008779,0,0,0.0195999058156735,0,0,0.368945064759072,0,0.935496434394447,0.488757925003574
238_3,0.0535719613261811,0.00487702296753187,0.000128126029896807,0.0987638420773437,0.15927088291576,0.126776264730087,0.014958283959529,0,0.00939030626343141,0,0.100679482559156,0,0,0,0,0,0,0.0014183166444211,0.00205432048737765,0,0,0.428111190039283,0,0.919648461164531,0.48333796470631
243_3,0.0195979508790396,0.0316190621726337,0.00995460517806732,0.0921651990321442,0.0967327245999968,0.162879876574641,0.00738622310042612,0,0.00730685702204416,0,0.152918231246479,0,0,0,0,0.00447976137583523,0,0,0.00374039029737554,0,0,0.411219118521317,0,0.903340414154087,0.51034478590797
244_3,0.0909025731577346,0.014820825379716,0.0140724342394857,0.100094223441945,0.124278156849159,0.113207636902501,0.0123845292296485,0,0.0276788528913527,0,0.0723691426330657,0,0,0,0,0.025010094395571,0,0.0036585319005682,0.00636147550818787,0,0,0.395161523471065,0,0.913091922887245,0.515420238467458
246_3,0.0629953005416989,0,0.00441807841666541,0.175722955929794,0.201233926277907,0.102482902663759,0.00696445293198673,0,0.0722281325084747,0,0.0857414239540315,0,0.0356283932630138,0,0,0.0035538451298223,0,0,0.00808018070025516,0,0,0.240950407682591,0,0.920755728616148,0.529025141573437
249_3,0.0273326150086718,0.00736101138810502,0.00206750054554901,0.100648575752811,0.126400190073927,0.13866299540499,0.0133994051147592,0,0.00870546670434236,0,0.13325840937482,0,0.0280626818874174,0.00618397057066669,0,0.00662830967491451,0,0,0.00736816185426711,0,0,0.393920706644759,0,0.907378490877087,0.510394510774134
253_3,0.0689265906624736,0,0.0151601010647792,0.154889173133837,0.0909603343325593,0,0.00267544709790844,0,0.0497985296591353,0,0.172747464284228,0,0.0387332890597974,0,0,0.00510461852420215,0,0,0.0147625870969154,0,0,0.386241865084165,0,0.894175578308344,0.529937410600843
262_3,0.0151437538663012,0.0307183521085677,0.0371623653653912,0.114753747668536,0.154152089869387,0.0982168410527206,0.0325770326422682,0,0.028289474543776,0,0.208242735929382,0,0.0403350693980196,0,0,0.00516637327456358,0.00163325930356351,0,0,0,0,0.233608904977524,0,0.74843794607298,0.692588642557985
263_3,0.0720677991274058,0.0294056042400438,0,0.235883253766073,0.0370997642550842,0.123894900864983,0.00766170825917622,0,0.0306131326351462,0,0.0963179614369396,0.00081404877364897,0.0597840747132614,0,0,0.00829604654232174,0,5.29056778584597e-05,0.0148291987833787,0,0,0.283279600924679,0,0.887782232812407,0.566044312179213
267_3,0.0535537726592053,0.00313980717866257,0.00529688867795014,0.120779295686009,0.174093477593461,0.162293661603318,0.020341301829697,0,0,0,0.0924178162266664,0,0.105346641228149,0,0,0.0106288839390803,0,0,0.00427541445255166,0,0,0.247833038925251,0,0.905302533753137,0.557933249628002
270_3,0.0175037405357099,0.00948847582331331,0.0040851567874958,0.0364239637209581,0.0839468112878282,0.11225895504655,0.00312036373292248,0,0,0,0.0908552657079214,0,0.083155177655821,0,0,0.0212080049349709,0,0,0.0268854827802187,0,0,0.51106860198629,0,0.90798729279851,0.466851781885831
271_3,0.0206797834797613,0.0223255799439278,0.00274736273887173,0.092560080220815,0.0646680867684456,0.0761179720136239,0.0355687335239472,0,0,0,0.190308327171574,0,0.0160368242485125,0,0,0.00135594765551076,0.00143212370315184,0,0.0145912239269873,0,0,0.461607954604871,0,0.93269804515849,0.450658252167358
272_3,0.0488022718535192,0.00916187957400516,0.00204581731132376,0.0813215060540829,0.138895197838995,0.181264041258501,0.0203591357913194,0,0.00990053200590269,0,0.179162381255541,0,0.0399839949231272,0,0,0.00162544761139335,0,0,0,0,0,0.28747779452229,0,0.911058471090965,0.534523902871419
275_3,0.0679173173143269,0,0.00659170368874649,0.254923152321673,0.0160972803065355,0.0960956570899915,0.000808504412375575,0,0.0459912632375528,0,0.104738460870506,0,0.0417139847955239,0,0,0.00641417765367321,0,0,0.00608884732002203,0,0,0.352619650989073,0,0.908734525155203,0.518936196012502
278_3,0.0437411549517473,0,0.00219078243920822,0.113440365129382,0.0606299312531894,0.0702802141383169,0.0116780542142642,0,0.0265461203086986,0,0.152122747847803,0,0.011800763743863,0.00664529908405421,0,0.00239428557204245,0,0,0.0132709667612094,0,0,0.485259314556221,0,0.855538083417242,0.548282039308412
279_3,0.0424421815792681,0.0103798332526771,0.000905225390569159,0.0466200118773631,0.131308392972274,0.0803109972108863,0.0124843080823058,0,0.0329661947212279,0,0.0926475011054621,0,0,0,0,0.0100073241101011,0,0.00112967638145291,0.00655894284809009,0,0,0.532239410468322,0,0.939627525291689,0.414299202810201
280_3,0.0448605156871856,0,0,0.0768630106457334,0.0759915296038566,0.189448024830446,0.0277873644047114,0,0.000777644975561903,0,0.100296836811776,0,0.000409996329626493,0,0,0,0,0,0.00912698727872926,0,0,0.474438089432373,0,0.936629108363816,0.443256694148223
281_3,0.0251724296744374,0.00646642444052547,0.0112746461206709,0.129010900554807,0.0799159216477315,0.203732033039661,0.0054917143866066,0,0,0,0.0894973612632236,0,0.0916888484309557,0,0,0.00730768769254894,0,0,0.0160941118608582,0,0,0.334347920887973,0,0.831038544946896,0.608989519338466
282_3,0.0465081978624235,0.00557107656478784,0.0123669982503701,0.108868609716877,0.0407998609662298,0.0864278413657686,0,0,0.0527211462919229,0,0.138086951947791,0,0.00253379239002908,0,0,0.00680122558947101,0,0,0.00466522485908863,0,0,0.494649074195241,0,0.901244080737684,0.486866393548628
283_3,0.0214401331087536,0.0207761088416174,0,0.114666029842078,0.174851127702678,0.0540328588818425,0,0,0.0676266846201999,0,0.0670632948358098,0.00495601534073378,0.0374176406627754,0,0,0.0126728942063005,0,0,0.0262635521958606,0,0,0.398233659761351,0,0.90007916916359,0.520651758034699
287_3,0.102447326213296,0,0.00393087520163956,0.144542711535743,0.0832853740677337,0.00315117917852394,0.0125020276001783,0,0.0442176025864674,0,0.179349428459514,0,0.006986714852489,0.00145143398701947,0,0.00352780931864871,0,0,0.00370429780762085,0,0,0.410903219191126,0,0.904774306059951,0.508786611797094
290_3,0.0236702075012088,0.0108255341689146,0.00546945441737136,0.0475864687794592,0.101071802700988,0.167578647572513,0.0188647688625562,0,0.0203102615185428,0,0.0816663554541823,0,0.0181971416304449,0,0.000222529594780968,0.000566131645262599,0,0,0.00699838427780393,0,0,0.496972311875972,0,0.929712400226748,0.443089955000142
